Request,Response
Mn umez gt x,Saw
Eeeee mn ndi GU chat na carmel,What
Ndi kuvugan na carmel,Ok
"Yeah, Umez gt x, Umez gt x",Ese woe wabagahe
Shn ni muri Esb,Saw
Ngo gute x wanjy,Saw
"Eeeeeee, Ewee boi",bora vp
Poa thierry,sha ewana  na pary na boom ni hm gusa
"Mpa prot nyn, Wee ko utuj cyn",hehe
nyn kuri ayo maparty,Rekareka phone yarapfuy
Shn sorry nyn tuh,Ntrb
wee,Weeeee nae pt
Umez gt x peti,Pt ninde sha petite
Oe nyn,Ok
Wenda wababyimbye,Gt x pt
Ntrb,Ok
Harya wavutse 200?,Navutse 200 x ni ibiki
Umwaka,Umwak wuh x
Wavutsemo,Rek rek mn
Ok,Nnx njyewe navutse 200 x pt k+
Ex soma usesengure,"Njyewe byananiiy3ol3oooo, None, None"
Ndakubajije wavutse bibiri kangahe,"Eeeeeee, 2008 oe x"
2006 wumvishe rero niwoe pt,"Oy ni oe pt shn, Hhhhhh, Hello"
hello,Umez gt x wanjy
saw2 woec ahubw,"Ni frsh mn, Uratangaz ik x"
nacyo,"Hlo, Hlo"
Ok,
Hu,"Ha, Wee"
Wee  nae,Pt bimez gt x shn
Saw,Ko mwabuz thierry wee
Hoy,Egokooo narababuze burund mn
Rekrk,Igooo mn
Hhhh,Ko useka x
Ngo igoooo mn,Kuber ik x
Nukunu uteye,nteye gt x
Pt,"ni byiz mn , oe x"
Gra,Hhhh gra niki
Ark uzig impine,Urazindush x ahubwo oe wandika ibintu bitabaho
Hhhhhhhh,Arko waranyanz mn
Hoy Man Computer yange Yarapfuye Nira Sister Phone,Eeee narinzik wanyanz
Ok,None
Eii,"hii, i m sorry i didn t get your message"
No prob,How u doin
,m doing good hbuu?
Great,Wher you from
"orlando, you?",Kigali
Or !?,You got it
m confused,You know Rwanda
no,In Africa dude
"ohhhhhh, wowww",Yh
Wyd,"nothinggg, wyddd"
Watching TV,How u doin
m going good,Great
How ws your day goin,"goodddddd, hbuu?"
Same here buddy,Can we know each other better
"Yasubije   ku butumwa bwawe , yes ofc",s get started
okay,I am Thierry
U?!,m talaya!
Nic to know you talaya,"thank you, nice to know you too, how is your day going"
The day was amazing,But nothing new
Can  I get your pic,hm?
Wym?,get my pic?
Yh,pic for what
,I jus wanna know u
you can see my highlight,Nah
Why are you actin like that,"wymm ?, i don t really have pictures i just make tiktok"
No prob just drop it,Idc
"they are sending, what do you look like ?",Waiting
Nigga,"?, they are still sending"
Wym,i sent videos.
Okay,
am black,I think Is that what you mean
"no you called me a nigga, idk why the videos aren t sending i think it s my wifi",Nah I called my self
Cz u asked how I look a like,No way
"yep, None",So cute
thank you,Yee
Wyd,chillinn
Alr,How you doin
m doing gooddd,Cool
s ur day going,"good!, yours?"
Great,You look fine
You got man ?,"yes i do, he s my man that s not my man, this is jim, him*, it s sending, None"
Hell nah,", whatt"
This is crazy tho,I was jus asking how you could send his pic rn
,Yoo
hey,How u doin
good,Grt
"s time there""","it s 3am, do you ever get suicidal?"
Okay morning,Once
Why u asked ?,just askin
Okay,How u doin rn
good finna gts,I was worried abt u
Good night,"i was getting my hair done, and my lashes, goodnight"
Hit me up when you wake up,heyy
Hii,hey
Hyd,Hii
hii,How u doing
m goodddd,Grt
Tbh i wanna hear yo voice,Cn you plz send vn
and say what..,Mn idk
"Just say greet  like that ,",huh
Yp,But it was jus a favor
"yes, None",Ooh
Cool,"yea, i ve been screaming all day i don t sound like myself"
Really,yes
That voices created some strange feelings tbh,I am so eager to hear real one talking
"Yasubije   ku butumwa bwawe , okay  , dam",Wym
idk,Okay
"s your day going""",good
Grt,Hi
sup,How u doing
Hii,hey
Miss you foo real,
"Yasubije   ku butumwa bwawe , Yasubije   ku butumwa bwawe , i m sorry i thought i had texted you backkk",Nahh
i didd,Btw how have you been
"ve been depressed, but im fine, hbu","s happened"""
Great,"a lot.., that s goooddd"
Tell me mn i can help,"my mom is making me more, move*"
From home,
yes,s crazy
yes,How u gonna handle this
,idk
You have siblings,
"m not going bro idc, yes",You have older one
yes,Is still home
,yea
"re the one she wants to move""","a fresh start, but ik it s bc her bf is there"
Damn,"t have words to say right now"""
yea  she s fucked up bro,Does her bf want you to go
"yea, but my mom treats his kids like her own, and she s a bad mom to me",You told me before you have an older sibling maybe you can join him or her and live together
"nah, she has a baby, it s just to much",So what are you thinking rn
Alr,Before you told me you got a man maybe you can try him
"he been gone, he don t text me for hours but it s wtv",Am sorry
t know how you,me either
Anything happen let me know,okay i will
Alr,Have a good night
"Yasubije   ku butumwa bwawe , you too",Mrng
Hi,hi
"s gud""",
"Yasubije   ku butumwa bwawe , nothing much, how you been?",Well
,well
Great,You are now connected on Messenger
You are now connected on Messenger,Vp
Like seriously,Foo
Niyo reality,"Aaah, Ndumv bikomej kugorana"
Gutx,"Chn gutyo nyn, Nnx"
Neza,Kutaryama
"Nd kureb movie, Oe",Ndaryamye ako
Igitotsi Cyanze kbs,"Ur gutekerez ikx, ."
Ndichat biraho,Oec
"Chn Nd kureba movie, N cht to",Ibazek tutibwiranye ndaq
Am Angel,Nice to know you Angel
"re talkin to Thierry""","s, Hom nih x"""
Abantu ba Thierry tuba Twihariye shumi yangee,Kagarama
Oe,"Rek c, Gt subw, Nymrmb"
Serieee,Uzamurebe urebe naband uzabyibwira tuh
Eeeh,Nzagusure
Iss fine,Bjr
Wabyutse x,Wapii
Wibagiwe isaha twaryamiye,Mrng
Bmz gtx,Foo real
"N xw, Like seriously",Kbs
Keep it up,"Fr sure, ."
Yeah,Am lookin for the one
Seriously,foooo
Hey,hii
"Amkrx, ??",Nmz
Oe,"nang n xw, nlb"
Gldd,Xp
Hey,Btx
"N xw, Oes",Ni saw
Wabagah,"Chn ndahari mazeuh, Hubw oe"
Ibaz pee,Ubw nibigucits
"Wp mae, Maze",Noec warumz ute
"Mz bn, Oex",Shn ni flx kbs
Ako uzik nta pic yae ngir,Yiqoooo x ??
Biri serie,None
You are now connected on Messenger,Hlo
Fuck on,None
Hi,You are now connected on Messenger
Sup,Ni flx br
Kbs,Hm nihez
Inyamirambo t,You are now connected on Messenger
Ywee,Yoo
Ngo kirigut brsk,N nez pp
Es mhn utuyh,Kuruyenz
Eeeh,Ndaft
Yup,Njyankwibuk za Renge Wankoreye 2
Izih se ghee,Cyagih nkurasa Sabon
Ark n woe wabyitey gsr,Hhhh
Narimfit ingingo,Ko nta nigga iruka
Pfush nyn,Ntrb
Ahubwoc wamae nbr zae,Banyiby 4ne man
Noec,Urigukoresh icy
Fb Gsa,Eeeh
Ndaft,Ntrb
Poer,None
Umvax wabony bulletin yae,Ego
Eeeh ntrb gutx,N nez pp
Biragend woe Na sis wae,Nez kbsa
Tell me commands of Cmd by hacking WIFI,Hi
You are now connected on Messenger,yolla
who ar u,migisha wacyanae
vp se umu sis,poa 2
ok ese chris aba fb,sinz gs aba IG
ig yotwand,_christian_ira_
ok mercy,yup
Hii,Ei
Amkrc,Ni meza
Long time pe,Cyn peuh
Uranyibukac ub,Vio
Poa,
Hi,"Hi, Can you Help"
What,https://youtube.com/channel/UCmU2Lm5c4xb4sgshQctrRBQ
Wowww,"Please, Help me"
I saw it,You do sub
t but I,"What, ??"
Yeah,"Can you sub now, Please"
Why,Bye bye
Ntrbii,Hi
Hi,Hi
Iwant to be your friend,Toka
Hi,hi
How are you,Hi
A contact just joined Messenger.,You are now connected on Messenger
Hi,You are now connected on Messenger
You are now connected on Messenger,None
You are now connected on Messenger,You are now connected on Messenger
None,"Nghh, Yo"
Yoo,Kir gt
Flx tuh,Lng tym
Long time kbs,Nindex
Josh,Wahe
,Gatsat
Shn wapi bro,Ikx
Sinkuzi,"I know it, Brh"
None,Hi
Kiriyate brsk,NGO gute musirikare
Ninez kbx,Woec
"Ni sawa nanjye ntrb, Uri kukic",Nacy kbx
Woec shah musirikare,"Njye movie zenda kumena amaso ni wareba, Ejo noheli ngo gutex"
Shn ndi ready kbs,Gusepera kakahava
Hhhh wasanga ushaka gutera inda sh,Hhhhhh
Rkrk,Nzagufata nihahand
Hhhhhh,Umfatax kubr
"Gutera amada, Ubujye nukubyuka njya kuramya imana",Cyan
Woe,Vip bro
Ni pw woex,Ni well kbs
Waratashyec,"Ubu nibereye dor mn, Ntahatwitse"
Noec phone wayikuyeh,Narayizanye wan
Gxr,Ubwox untukiye ik  wakabya wwew
Eeee,Xry
Amkrc ya classe,Cp
"Ni sw mn, Wabaye uwa Kane, Mn",Cyzeeee Meci kbs Woec
12,Cyzeeee nae warakomye
Ub njye nacitse mn,Kbs nashonnye abandix bo barihehe
Uziko umuhand wakamonyi wacitse mn,Hhh ndaq
Noec mwaciyeh,Ubu njye naje namaguru
Hhhhh,Gxr
"Abandi bo bashobora kurarayo, Njye nakarenze",Ndabiz nabandi sibari burareyo
"Gxr, Urabibona sh",Komuhamwariye eeeeh
Ark ubu barary ag canga tuh,"Oya nakintu Kiri muri esb, Ubu ni ukubwirirwa"
Hhhhh,Nijoro mwariye iki
"Twariye agacanga, Kuru cabana",Cyzeee
Ndabona byari flx,"Gsxr, Mpa nka 200, 0784584546, Bikore nkuwikinira"
Aahh ndi hasi mhn najye ahubwo urananz narinjyiy kukubanz,"Ngaho bikore nkuwikinira nyn, Kuko nagutanze"
Ahaaa,Vp
"Pw kapo, Kiriate",Niko bien brd men
Knd warasaz jjh,Gutex brosk
Amata,Twigendere
Cynee,Mukany saa cyenda
"Wee eee urabura ik ngo ufate indenge, None",Hhh Nibyo Wiyandikiye
Ndi serie maze,Aho Ntag ar esb
..urabona arihex,Nikind Kigo Kuko Twe Ntago Barabiduha
"Urabibona bagysubijeyo, Aha l",Yewe
Nsoga ejo,Nanjye
Skl ni ryarx,Kuw 1
Nabwo wabinkora,Woec
"Kucyumwer sinaruramo sha, Oz mwavuganye??",Wapi
Wasanga yasubiye skl maz,Hhh
Fucka,Serie mze
Baramukanirax,Yooo
Kriate bro,Yeweee
Ikc urabe maso,Nae uyabe boss
Vp,Poa
Bmz gtx,"Oex, Ni xaw 2"
Ni flx kbs,"Ok, Gud"
None,Wavuy skl ryar x
Kuw 1,Eeee
Woec,Ngew kuw 3 nahis nah
Eeeh kbs,Cyn
Yeah yh,Ex huyh
Utuyh,Kacyir oex
Kicukiro tuh,Kicukir haganah x
Kagarama,Eeee
Harijyih naz kacyir nkabanyurah,Ntacy bitway kbx
None,Mrng
Mrng,Gut x
Nez kbx woec,Ni well kbx
Eeeh,Hary wag muyih
3C,Eee
Hary woe ni 2F,Cyn
Eeeh,Ark Clemence Mura chilling foo
Wig s2E x,Eeeh go
"Yp, Ark sicyan 2",Eeeh Yijyez kumbwir ibintu war wamutumy tuh
Urabyibukax,"Yp, Why"
Niwoe wex war wabimutumy,"Wp, Nuk yabishakag 2"
Eeeh,Kubrk nzik ukundan na elvin Njye uranshakah icy?
"Yp, Noex kuber ik warubimbajij",Ntcy mwn Ni ukuberak Nashak Kubikwibwira tuh
Ibik,"m not in the mood of dat things"""
"s just be friends gus""",
None,"Ok, New frendo"
You are now connected on Messenger,Eeeeeh non h uranyemej
Gutex,Uwo  mu Gi  mn
Ninezax,Cyn
,Ahubw se  urikucy
Nkikih,Cache
Eyooo,Yoo
Cuzz,Ng gtx
"ni cool, Fam",Eeeh
Es utuyeh cuz,gikondo
Eeeh,You are now connected on Messenger
You are now connected on Messenger,You are now connected on Messenger
Hi,Hi
Hi,hi
Hi,Bitx
N byz,ok
Hi,Hi
Amkr,Ni mezaa
Ni joy 2b,Ygoo
Eee juru yamay nbr zae ark ntag zicamo,"Eeeeeeh mn, Nayigize private mn, Arko ntrb gorob umpamagare"
Ngah nyine rek njy nguhamagar,Ntrb
Ubux irih,"Wo, Wo, Wpp"
K Ntrb,Ndakubwira
Ntrb,Jyumpamagara noneho
Saw,Ok
Ntrb,Hi
Hi,Amkrx
Ni mezaa,Urikwitegur
Oyy,Sup
Sup,Weeeeee
Ngo gut,Fresh
Urigukoricy,"Ndikuryaaa, Oe x"
Njy ndikurb mv,Hi
Hi,Umzt x
"Nez, Oe c",Nanjy ntrb
Wayisubije privat,Ex man nbr yae
Wp,Eeeh
Ndaz kurb,Ndabona idacamo
Icamoo,Saw ndaz kurb
Yhh,As man uvukana na Higuetee aniella
Ygg,Eeeh
Mbambona,Man
Harimo,Agasur
Wpp nuko dusaa,Eeeh
Kowar umbeshy,Nari nsomye nabii
Ntrb,Hi
Hi,Bmz gt
"Frshh 2, Oe c",Nanjy ni Furegisi 2
,Noex ko ub utvg
Gacy cyn,Yg
Mbanazubay,Kubr
Hhhh,Ako kanuuu
Hhhhh,Weee skul yajeee
Aha,Umutima Urikuryaa  ndaq
Birek shai,Wabyihorera ko ndikubyuka Nkareba I tariki
Mbabarir nge byantey ihungaban,Ark Bazongera
Have udatum nkukubit,None
None,Okay
Hlo,Vp
Poa,Bmz gtc
"Frsh, Oe c",Fuego kbs
Okie,Urogukoricy
Tv only,Icyx ubw
Indirimbo,Ndaft
Ubw zakuryohany,Foo
Yewee,Yoooo
Bmz ng gtx,Flx
Iminsi myinshi,Uhm cyn ahubwo
Ahubw um nbr yae,Weeee
Wht,Kutajy kushulii
Nzajyay kuw 4,Ntako 3
Egoo rat woe uz ubwengee,Hhhh
Gutx,Nang nibwo nzagendaa
Ntrb,Eeeh
Ubwbtuzahuriz skll,Hi
Eii,Bmz gtz
Hi,Eii
Amkrc,Arkose shniiia
Ikii c,Bmz gt
"Nxw, Irakoze mentioned you in their story.",Byee mwan ugiye kwiga hehec
Muhabura,Cyzeee
Ayo mago nimez,Yoo
Jojo vpc,Hii
Hi,How u doin
m fine you,Blessed
Wher u from,Benue you
Rwanda,"Ok, Nice meeting you"
YEAH,Me too
what u do fo livin,"m a musician and a law student, How about you"
Great,am Software Developer student
Ok,send me the name of one your track and listen to it
Ride or die Joyzaf,is it on spotify
Yh,Okay
You are now connected on Messenger,Vp
Hy bro,Saw woec
Fresh t2. Night x mn,Saw ndikureb aka movie
Hhh kugiy kuzirangiz vuba x mn,Hhhhhh
Harazind,"Hhh na movie ziri gusohok mnt, Umv x mn ahongah umuriro uragiy mn"
Mn  hom  har  WiFi mor nzidawnloading,Rekareka urahari
Utuyehe,"Yeah x, Kanombe t2 nWoex"
Kckr,Ngo
Kicukiro,None
Hhhh,Hello my friend ndagusaba kupfasha kupfasha nakundi nuku gukora research kuri you tube u searching Empire dance crew ukora subscribe ukora Sheri kushuti zawe like ndetse na comment maze duteze talents nyarwanda imbere urakoze.
Rekareka,Iki c pt
"Hhhhhhhh, Vp",Hi pt
Hi,Umztx pt
None,Ex mn Utuyeh
Kimihurura,Ok Nge Ni kicukiro
Hehe,Kigali Sport View
Ndahazi,Ok
Uzansure,Hhhh
Kuseka Se Ubwose Birasekeje,Cyn
Hoy Rekareka,Seriex
Salam Warupetit We,"Wambesirewe, Ibinibiki wanyoherereje, Nez x"
What,
Umgtx Mbob,Iki
Mbobo,Iki
Uri Akabobo,"Hhhhh, umumarayika yambwiye ngo izina ryawe ryanditwe mubantu bagiriwe umugisha mubuzima niba ubyizeye yohereze kubantu 33 no kurinjye urabona umujyisha simikino ntuyirengagize ndagusabye uyohereze"
Hello,Eeee kariya ka movies x
Si Saw Se Imagine Uyikin,"Ari really, Eeeeeeeeeeeeeeee"
Hhh,Hhhhh
Juru Vp,Frsh mn
Ark Man What About Your Profile Picture,Iyi he x iyi yaba zungu nakoresheje phone iri kumuriro iba ijyiyeho
None Wayinduye,"Biri muri plan ark ejo nzabikora, uzagaruka esb x"
Saw,Yeg Why
Nuko numvango harabataza garuka,Yg Man Nibenshi Kubera Minnes
"Kbx, ark sinzi ntawamenya",Hhhh
Ark Juru School Ukumburayo Icyi,Ntacyo wllh
Habe Nacyimwe,Ark ibishyimbo bya skl njyambikumbura ukuntu biba biryoshye wllh
Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh,Nukuri woe x niki
Isombe,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh,Wanyoye
Hoya Man Twasangiye Ahubwo,
Ahhhhhhh,Wisara
Kanguhunge,Kuber
Wanyoye,Kukurusha
"Kanijyendere, Ark kutaryama",Nago Ndiburyame
Hhhh ok,Bonne Nuit Man Ndigusinzirw
Kbx gd 9t,Saw Bro
MANAWE,Urababaye
Wabanteje,Cy
Cyn,Nibande babi bonye
Abantu 77,"Manaweeeeeeeeeeee, Bambwire"
Sintibuka Ark Nibenshi,Wabanteje mn
Subwo mn Birarenz,None
Hoy Man Ahubwo Ntaguhay Hit,Toka hit yogukunda ibishyimbo
Cyn Sibiba Biryoshye,Toka warinkoreye
Ngaho Sorry Nimba Byakubabaje,
Waguze Iyihe Cache,"Ark x ubundi woe ukumbuyiki, Kanze nzi photore nkwereke"
Nacyo,Ntrb
Kanze mbikore,None Birihe Kari Ku Bi Searching Google
"Igo, Fooooo",Ntrb Wa
"Nari narazibitse, None",Akiryo
"Iki, Kankwereke nindi",Reba Yee
"None, None, None",Mana Weee Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh
"Hhhhhhh, Umupira wamavubi byajye nzute",Simbiz
,Hello
Hello,Umva Mere Yankatiye Ngo Nzagure Ishati Ya Schoy
****School,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh wazanyinda isaze uvugeko iyo skl igora gufura
Cyn Man Ark Sabyumva,Irize
Gazure,Hhhhhhhhhhh irise shaaa
Hoy man Gabanya Brague,Nukuri home kuko nyine ninjye muto iyo banze kunkorera ikintu ndiriza
Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh,Uranyic
Utuyh,Kimihurura
Nukk Arkur,Nonese Man Mvugishe Madona Mvug Ngucy Animater Cg Madona
Madona,Gapfe
"Nukuri, Ubuninde utarikureba prime tv",Hariho Icyi
Mbwir Man Ubunibereye Muburiri,"Man of steel, Irigutwika"
cyacyer,Hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhhhhhhhhhhhhhhhbhhbhbhhbhhhhhhhhhhhhhhhhhhhhhhhhhhhhhbhhhhhhbhbhbhhhhhhhhhhhhhhhhhh
Man,"Iki x, Urayizi x"
Nicyacyera,Yg
"Harimonde, Eeeeeeeeee niyakera kbx nayirebye bwambere ndi p4",Harimo The Flash Wonder Woman Batman
Hhhhhhhhh wap,Yg
Super mn yambere,Hoy Uma Ifot
Story ye akiva kuri wamubumbe,Uma Ifot
Ndigukoresha gatushe ntibigaragara,Hhhhhh
Uzayire kucyumweru ndayihutuye,Ngo
Harimo iyo bita Gravity weapon eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,Tok
Irwogajuru ruca Gravity nkumunota ukazamuka mukirere ubundi kigahita cyiyisubizaho ibintu byose bikikubita hasi,Hhhh Mbeg Film Urikumbwir
Nzayireb Ntrb,"Arimo general witwa zard eeeeeee ambasader washitani  mwisi, Seriex mm si fiction"
Siby,None
Man Kombon Profile Yae Idahinduka Man Man Kuri Nyew,"None, Urigukoresha lite sibyo"
Yg,Niyo mpamvu nakoresheje opera posting ntago nakoresheje lite
Ok,"eeeeee IMANA ikurakure, None"
Yesuwe,"Yicaraga inyama cyarebaga nkicyi cuye, Nibikote nkumunyerondo"
Yg Man Uma Utundi,Ntayindi mn nako gusa
Utundi Du Funny Pics,Ndapfuye ibitotsi ejo byyyyyyy kuko meze nabi byyy mn nzabiguhata ejo
Ntrb,Numuriro ngo baaaasasaaaa
Hhhh,"3, None"
Munyakazi Uraburije,None
None,None
None,None
None,Umva Kor Like Kuri Iriya Story Cyane Utaruhuka Nkagutya
None,None
None,None
None,Cyirigut
Fooooooooo,Ngaho Uma Twadufoto
Hano Ndigu Chat Numwana Ark Nabuze Injyungo,None
None,Hello
"Reba kuri prin, Reba kuri prime ya movies iraza kunyuraho",Saw Ntrb
None,"Tokaaa, Cyaaaaaaane"
Hhh,Ejo bundi naguzaga none ngo ntago nemerewe kuguza kuko ntamazemo amezi 3 kandi ejo naragujije
Yg Sha Man,Mbafashe
Dore Aga Training mvuye Kugabanyisha,Kampe nkaba tagging ho
None,Eeeeeee nduwambere ugusabye kuka vara
None,Nzaka vara
None,Uzaba uryoshye
Rekark,Fooooo
None,None
None,None
Hazashya koko,Gapfe
Nae Muricyira,Jyira Vuba
None,"Nayi bitse muri mare kare ibintubyo se narajyije kubinika, Hhhhhhhhhhhhhhhhhhhhhhhhhh"
Hhh,Ark mama najye nda ndakwereka ibiri hafi
Ntrb,None
Ntrb,"None, Umva umwana wahome, Ngo ni super bibe"
Umva mn Andik,Numwa na wa home ari kuvugango super bipe
hhhh,Ubumvishe waseka
Hhhh,Ntrb Ex Ko Utandatir
Iki,None
Njyenkweretse wasara,Reba Yee
NukuriI reka mere agendee,Hhhhh
None,None
Gutx,None
Ujya unywa,Hoy
Hhhhhhhh,Man Ngah Uma Twa Dufoto
"Mere arahari, None",Ni Uduhumbi
Wap reba hasi,Ni Angah
Sinzi,Urikakagoryi
A Messenger user missed your video chat.,Wonjyere
None,Ejo Nari Nagiye Chic
A Messenger user missed your call.,Hhh
Nimbi,Wp
,Reba isibo
Harih icyi,Byyyy
Ugiyehe,Skl
Urajyenda Uyumunsi,Ejo tondo
Suzi Aho Ndara,Wap
Nguhamagare,A Messenger user missed your video chat.
"A Messenger user called you., The video chat ended., Kimomo yitwagute fb",Irene Arthur
None,Wamubonye
Kare,
Amza Yamuje Na Kadada,"Ik, Nuwa he"
Sister,We keza Shaho
None,Kaniryamire njye ibyobintu byarananiye
Hhhhh,Saw Bonne Nuit
Keza wuhe,Ni Keza Simvuze Izina
Hhhhhhhhhh ahaaaaaaaa,Sicyucyi
Kanze mbi posting shaaa,Hoya Man Gabanya Ubugoryi
Reka man,Juru Ndakumena
"Naranjyije, Revenge, Nawe warabinkoze",Man Knd Nae Ujyushyira Man Mugaciro
Hhhhhh woe wagashyizemo,Yg
Man Ibaze Amza Cg Madona Bayibonye,None
Man Uridajye Maze,"Joking wllh sinabikora bro mbajyirango usare  , Byyyyy mn"
Saw Ntrb Bonne Nuit,Wassup
Samar samaji,Poa
Ndakubona,Umbonahe
Kwaso,Sasa
Eeee,Ark Kosha Ko Utajyitwika
"Nabihariye aba ten, Ntago ncyiru my teenage",
"Twika woe wumu teen, Tubihariye ahabana nkamwe",Fxck you
"Sibyo x, Gasamacyi, Samasamagi",Wambabariye pt
Cykz,Icy
Um nbr zar,"0789991450, 0781327558 nizo"
zime,"Araje, Ari chart"
inde,"0781277148, Yajyiye"
juru ngah zime,"Ndimuri, Sport, Gxr, Ndaje, None"
hahahaha akabeba ndaq,"Ntrb, Kanykoo, Nkufashe"
ark man kutkan cyn vp,Nyoko
ioo phone nayo gafite katiye nimero yak sirih,vp
Frsh,zime
"0789816173, Nizo",ntago zirigucamo
"Sinzi, mn harijyihe, Narinjyiye, Kuziguha, Phone iba yikubisee, Hasi",ntago zirigucamo
"Sinzi, Jyerageza, Nagoroba, Wonjyere",ntrb
,um amafoto yae ur mur sport
Narayasibyee,yae
"Byari, Bibi, Ark kandebe, Kontanakamweee, Nsigaranye",ntrb ndebr
"Ark, Kanyoko, Ziriyasaa, Haa, 1:00",man bafunguy nu uturere
Yg,
Yam,"None, None"
kutaryam,Maze gukora sport naho mukanya 00:00
hahahahaha,Eeee
uraterur,Yg
k its up to u,"Ntrb mn, Eeee no haso zanjye nyn"
Vp,Yg mn
Uvuy Sport,Wp mukanya
Hhhhhhhhh,Keep it up
Vp,Well
Nyerk ah Ujyejeje Sport,Ndiryamiye nimvura
Natw,"Hhhh, mn hashize 3 nta sports nzima nkora"
Ubayik,Vp
"Ndabona, Haraje, Gushya",Hehe
Pc,Iriy profile
Ee,Angah ku ?/100
Inki x,Iriy pic
Ee,Saw
sup,"None, None"
gxr,Sup
Eee,Salm
Frsh,Nabony touch
Yihe,Konka
"Yihe x, Eeeee, Ndayizi, Irakomera, Ark nyn, Zirahenda, mn nanjye, Ejo, Bundi, Nabonye, 11 pro, Nyn ndumu mama waruvuye, Canada, Arayintiza",Hhhh
Yagutije,Vp
Frsh mn,Umzt
Well kbx,Ndabur utu  baby x
"Hhh, Ntago, Cyambijyamo cyn to",Reka wan
Iki x,None
None,Vip
"We, Well",Ya man
Urigukoricy,Shn ntabirenze
Urikuri 11pro,Shn karagatizanyo
Yarayikwatse,Ahubwo umu ajyeze muri Russia
Kumariki,Ava murwanda mn atuye muri Canada ngo baca muri russia
Umva ndagasui,Ni mbari
Afit,Cash
Izonjyendo zose,"Wp mn indejye zirasimburana, Nitujyera skl nzakwereka murumunawe, Yigaskl"
Ok,Yitwa nde
mn nakajangweri nzakakwereka ark bamuzaniye keci koko,Woec
Yakumanukiye agacyi,Shn yanyemereye minesi to
Eeeh,Ni ingenzi ako kanu
"mn nyn to aziranye, Namere, Njye ntabirenze",Hhhh
Ngah,Ndemer
Iki x shn,Me to u
"Hhhh, Irayobye",Saw nigga
None,?umbabarire kugutesha umwanya ndi Imana nkubera iki utampa umwanya kandi narakurinze nkuva ukivuka kandi nkaba naraguhaye numugisha ndashaka ko ubu butumwa bukwira nisi yose mbere ya saa sita zijoro nubikora nndagukorera ibitangaza 2 mubuzima kandi nnkufashe kubona ibyo ukeneye kandi iminsi nikurikira uzayibamo mumahoro ngaho ohereza nubu butumwa Ku bantu bawe muminota 10.
Sup,None
Bimz gut,Fresh
Urigukoricy,Kuryq
Njye nasoje,Hhh
